alpha,steps
0.18,4302
0.18,6034
0.18,5862
0.18,4895
0.18,2574
0.18,3165
0.18,2967
0.18,2880
0.18,3550
0.18,2302
0.18,2660
0.18,4873
0.18,3646
0.18,2400
0.18,4991
0.18,3058
0.18,4363
0.18,2404
0.18,3255
0.18,3965
0.18,3816
0.18,4087
0.18,3687
0.18,1568
0.18,3294
0.18,3192
0.18,3257
0.18,4969
0.18,3159
0.18,3067
0.18,4462
0.18,4293
0.18,3165
0.18,5096
0.18,4494
0.18,3507
0.18,5589
0.18,3194
0.18,4371
0.18,4014
0.18,7898
0.18,3302
0.18,3336
0.18,5204
0.18,3259
0.18,5191
0.18,3359
0.18,3991
0.18,2815
0.18,8363
0.18,5623
0.18,2657
0.18,5219
0.18,2413
0.18,3941
0.18,3318
0.18,2347
0.18,6047
0.18,3688
0.19,2681
0.19,4501
0.19,5490
0.19,1632
0.19,4231
0.19,4996
0.19,4493
0.19,2601
0.19,3081
0.19,2143
0.19,7013
0.19,3703
0.19,3944
0.19,5429
0.19,2647
0.19,4316
0.19,3668
0.19,2098
0.19,2568
0.19,2331
0.19,7329
0.19,3652
0.19,6572
0.19,3226
0.19,4125
0.19,4123
0.19,3893
0.19,4807
0.19,3998
0.19,2449
0.19,3075
0.19,5842
0.19,4774
0.19,2353
0.19,4813
0.19,5130
0.19,3924
0.19,4416
0.19,5204
0.19,4259
0.19,4362
0.19,3357
0.19,2412
0.19,4726
0.19,2650
0.19,3580
0.19,2461
0.19,3506
0.19,3892
0.19,3182
0.19,4600
0.19,5266
0.19,3213
0.19,2008
0.19,2698
0.19,3682
0.19,4843
0.19,4411
0.19,4233
0.19,4985
0.19,2636
0.19,4937
0.19,3285
0.19,5771
0.19,2756
0.19,2777
0.19,2519
0.19,2717
0.19,2771
0.19,3302
0.19,4609
0.19,3590
0.19,2512
0.19,2450
0.19,2833
0.19,3777
0.19,2174
0.19,2979
0.19,4809
0.19,2743
0.19,3491
0.19,4296
0.19,2248
0.19,3195
0.19,3029
0.19,2728
0.19,4499
0.19,3574
0.19,4820
0.19,4181
0.19,2953
0.19,6333
0.19,2449
0.19,1900
0.19,2205
