alpha,steps
0.15,4477
0.15,2582
0.15,3424
0.15,2638
0.15,3829
0.15,4875
0.15,2860
0.15,2550
0.15,3121
0.15,2741
0.15,2802
0.15,6026
0.15,3690
0.15,2700
0.15,4616
0.15,2174
0.15,2582
0.15,4831
0.15,3560
0.15,3489
0.15,1910
0.15,3879
0.15,2857
0.15,3830
0.15,2867
0.15,3283
0.15,3992
0.15,3417
0.15,2448
0.15,2889
0.15,2537
0.15,3619
0.15,3755
0.15,4628
0.15,3391
0.15,4889
0.15,3791
0.15,4321
0.15,3007
0.15,2159
0.15,4720
0.15,2853
0.15,4968
0.15,3472
0.15,4120
0.15,5018
0.15,1873
0.15,4586
0.15,1591
0.15,2831
0.15,2516
0.15,2965
0.15,3732
0.15,2746
0.15,3677
0.15,3158
0.15,4154
0.15,2643
0.15,2965
0.15,3053
0.15,3132
0.15,6677
0.15,3175
0.15,4698
0.15,5643
0.15,5365
0.15,4330
0.15,3127
0.16,3166
0.16,4587
0.16,4434
0.16,5850
0.16,3581
0.16,5389
0.16,5944
0.16,1945
0.16,1976
0.16,2953
0.16,4684
0.16,2737
0.16,3983
0.16,5960
0.16,6187
0.16,3904
0.16,3001
0.16,4239
0.16,3275
0.16,3971
0.16,3851
0.16,2863
0.16,3374
0.16,1891
0.16,4143
0.16,3617
0.16,3464
0.16,2689
0.16,3404
0.16,2669
0.16,3101
0.16,2241
0.16,2996
0.16,2733
0.16,2498
0.16,1720
0.16,6082
0.16,3049
0.16,3926
0.16,2851
0.16,3138
0.16,2713
0.16,3412
0.16,3124
0.16,3344
0.16,3052
0.16,5026
0.16,4977
0.16,6325
0.16,3659
0.16,1474
0.16,3366
0.16,3291
0.16,5125
0.16,1684
0.16,3848
0.16,2903
0.16,2092
0.16,5765
0.16,6423
0.16,2925
0.16,2786
0.16,4840
0.16,3688
0.16,3540
0.16,5354
0.16,5688
0.16,5285
0.16,4122
0.16,3041
0.16,2905
0.16,2793
0.16,3145
0.16,3916
0.16,2991
0.16,2796
0.16,5648
0.16,4270
0.16,3219
0.16,2391
0.16,2453
0.16,3368
0.16,2825
0.16,2828
0.16,2526
0.16,4369
0.16,3197
0.16,3374
0.16,3315
0.16,4002
0.16,3846
0.16,3591
0.16,1944
0.16,2973
0.16,3698
0.16,3182
0.16,5037
0.16,5750
0.16,1924
0.16,4933
0.17,2838
0.17,2763
0.17,3233
0.17,3545
0.17,3050
0.17,5590
0.17,4920
0.17,4203
0.17,4402
0.17,3247
0.17,2228
0.17,4209
0.17,3554
0.17,3621
0.17,3989
0.17,4071
0.17,4617
0.17,3411
0.17,4428
0.17,6543
0.17,7447
0.17,3345
0.17,3927
0.17,5176
0.17,4004
0.17,4849
0.17,5106
0.17,3359
0.17,3501
0.17,3998
0.17,3985
0.17,3320
0.17,3521
0.17,2211
0.17,3536
0.17,4035
0.17,3328
0.17,3496
0.17,4770
0.17,4750
0.17,2180
0.17,2473
0.17,6085
0.17,3216
0.17,2538
0.17,5809
0.17,4165
0.17,4175
0.17,2049
0.17,4481
0.17,3069
0.17,5597
0.17,3495
0.17,2576
0.17,6907
0.17,3147
0.17,3045
0.17,2188
0.17,3043
0.17,4098
0.17,3436
0.17,3549
0.17,6233
0.17,3244
0.17,3751
0.17,5674
0.17,2473
0.17,3752
0.17,3754
0.17,3285
0.17,4262
0.17,4071
0.17,2387
0.17,5157
0.17,4512
0.17,4962
0.17,3913
0.17,2761
0.17,2959
0.17,3824
0.17,3146
0.17,4181
0.17,2636
0.17,4466
0.17,4089
0.17,2831
0.17,3669
0.17,3780
0.17,2482
0.17,3947
0.17,3460
0.17,3011
0.17,4957
0.17,6240
0.17,4343
0.17,2454
0.17,5698
0.17,2977
0.17,5414
0.17,2440
0.18,4511
0.18,4719
0.18,5101
0.18,6205
0.18,3929
0.18,4289
0.18,2999
0.18,3492
0.18,7167
0.18,4605
0.18,4227
0.18,2882
0.18,4821
0.18,4278
0.18,4424
0.18,3789
0.18,1907
0.18,2433
0.18,4373
0.18,3336
0.18,3456
0.18,3074
0.18,3118
0.18,3191
0.18,3425
0.18,5368
0.18,5435
0.18,5057
0.18,4918
0.18,3260
0.18,4392
0.18,2453
0.18,2349
0.18,2383
0.18,4097
0.18,7039
0.18,2136
0.18,3096
0.18,4406
0.18,2754
0.18,4356
0.18,3629
0.18,5011
0.18,3303
0.18,4478
0.18,4250
0.18,3759
0.18,5935
0.18,5300
0.18,3503
0.18,1845
0.18,6844
0.18,2122
0.18,4711
0.18,4155
0.18,3706
0.18,6590
0.18,3616
0.18,2959
0.18,5818
0.18,3367
0.18,2843
0.18,4252
0.18,4559
0.18,7474
0.18,3470
0.18,3403
0.18,6054
0.18,2634
0.18,4794
0.18,4826
0.18,2582
0.18,3214
0.18,2859
0.18,2835
0.18,3017
0.18,4871
0.18,3657
0.18,3642
0.18,3409
0.18,3574
0.18,3462
0.18,4056
0.18,3914
0.18,3696
0.18,2759
0.18,4401
0.18,4452
0.18,3290
0.18,2707
0.18,2944
0.18,3688
0.18,3176
0.18,4558
0.18,4558
0.18,4369
0.18,2992
0.18,4976
0.18,2972
0.18,4134
0.19,6662
0.19,2647
0.19,2858
0.19,2037
0.19,3579
0.19,6588
0.19,5149
0.19,4250
0.19,5054
0.19,2408
0.19,4566
0.19,5153
0.19,3810
0.19,2971
0.19,2798
0.19,6069
0.19,3870
0.19,2254
0.19,2161
0.19,3705
0.19,6978
0.19,4799
0.19,3251
0.19,3016
0.19,4098
0.19,2745
0.19,4886
0.19,3661
0.19,3034
0.19,3709
0.19,3462
0.19,3444
0.19,4584
0.19,4445
0.19,2362
0.19,4073
0.19,4103
0.19,5082
0.19,3639
0.19,4139
0.19,3171
0.19,3242
0.19,2226
0.19,4163
0.19,3489
0.19,3803
0.19,3598
0.19,6421
0.19,3383
0.19,1982
0.19,3454
0.19,2425
0.19,3566
0.19,5406
0.19,4430
0.19,6495
0.19,5975
0.19,4078
0.19,3691
0.19,3437
0.19,3807
0.19,5726
0.19,4015
0.19,4209
0.19,3648
0.19,4711
0.19,4124
0.19,3096
0.19,4061
0.19,3304
0.19,3810
0.19,4404
0.19,3380
0.19,3998
0.19,3834
0.19,3629
0.19,2037
0.19,2505
0.19,5272
0.19,1737
0.19,4180
0.19,4261
0.19,3818
0.19,3763
0.19,4909
0.19,3299
0.19,4187
0.19,3069
0.19,3084
0.19,3963
0.19,4267
0.19,2427
0.19,3842
0.19,3790
0.19,6140
0.19,4308
0.19,5970
0.19,2850
0.19,5376
0.19,5544
0.2,2132
0.2,5437
0.2,2708
0.2,3427
0.2,3724
0.2,6135
0.2,2201
0.2,4617
0.2,4253
0.2,3656
0.2,2226
0.2,3310
0.2,3412
0.2,3684
0.2,5203
0.2,4300
0.2,4145
0.2,3396
0.2,4738
0.2,5160
0.2,5080
0.2,3844
0.2,2527
0.2,6432
0.2,5234
0.2,3486
0.2,2957
0.2,3265
0.2,2648
0.2,5291
0.2,3051
0.2,3204
0.2,3918
0.2,5085
0.2,3180
0.2,4800
0.2,3188
0.2,3247
0.2,6026
0.2,2977
0.2,4084
0.2,4672
0.2,3700
0.2,3641
0.2,3912
0.2,5627
0.2,3600
0.2,2599
0.2,2151
0.2,5178
0.2,4667
0.2,4041
0.2,6013
0.2,3332
0.2,4053
0.2,3757
0.2,2286
0.2,4151
0.2,4899
0.2,1889
0.2,6412
0.2,4857
0.2,3230
0.2,2924
0.2,3128
0.2,6496
0.2,3310
0.2,3154
0.2,4915
0.2,4502
0.2,4366
0.2,4215
0.2,4633
0.2,3541
0.2,4910
0.2,4129
0.2,4789
0.2,3868
0.2,3413
0.2,3510
0.2,5864
0.2,3103
0.2,4339
0.2,2860
0.2,5262
0.2,4453
0.2,3184
0.2,4174
0.2,2524
0.2,1576
0.2,3783
0.2,3653
0.2,4600
0.2,3074
